id,region,depth,substrate_type,structural_complexity,water_temperature,salinity,light_availability,coral_cover,algal_cover,marine_protection_status,proximity_to_human_activity,species_Porites,species_Favia,species_Stylophora,species_Acropora,species_Goniastrea,species_Montipora,species_Pocillopora,species_Montastraea,species_Orbicella,species_Siderastrea,species_Fungia
18,Red Sea,26.0,Rubble,0.83,26.3,39.6,Low,60.8,29.7,Unprotected,4.2,1,0,1,0,0,0,0,0,0,0,0
19,Coral Triangle,21.5,Rocky,0.79,30.2,33.8,Low,66.9,18.4,Unprotected,19.7,1,0,0,0,0,0,1,0,0,0,0
20,Caribbean,8.5,Coralline,0.6,25.5,35.6,High,64.9,17.3,Unprotected,19.3,1,0,0,0,0,0,0,1,1,0,0
21,Great Barrier Reef,12.7,Rocky,0.65,27.4,34.1,Medium,69.9,14.6,Unprotected,62.2,1,0,0,1,1,0,0,0,0,0,0
22,Red Sea,28.6,Sandy,0.81,28.8,40.0,Low,53.2,29.0,Unprotected,4.0,1,0,1,0,0,0,0,0,0,0,0
23,Great Barrier Reef,8.2,Sandy,0.7,28.2,34.6,High,73.3,7.9,MPA,122.9,0,0,0,1,0,1,0,0,0,0,0
24,Great Barrier Reef,3.8,Rocky,0.66,24.0,34.7,High,64.1,9.0,MPA,80.0,0,0,0,1,0,1,0,0,0,0,0
25,Great Barrier Reef,14.8,Sandy,0.62,27.6,34.6,Medium,74.2,5.6,MPA,144.6,1,0,0,0,1,1,0,0,0,0,0
26,Caribbean,23.8,Rubble,0.64,25.4,34.7,Low,56.9,7.7,Unprotected,3.8,1,0,0,0,0,0,0,0,1,0,0
27,Caribbean,3.8,Coralline,0.69,25.5,35.9,High,63.1,25.0,Unprotected,28.9,1,0,0,0,0,0,0,0,1,1,0
28,Great Barrier Reef,21.8,Coralline,0.85,27.9,34.8,Low,57.9,28.2,MPA,87.0,1,0,0,0,0,0,0,0,0,0,0
29,Red Sea,16.3,Rubble,0.65,29.6,40.5,Medium,67.6,27.4,MPA,36.8,1,1,1,0,0,0,0,0,0,0,0
30,Red Sea,5.1,Rocky,0.73,26.8,40.3,High,56.4,13.2,Unprotected,23.5,0,1,1,0,0,0,0,0,0,0,0
31,Caribbean,22.1,Silty,0.42,26.5,34.8,Low,59.7,5.8,Unprotected,24.1,1,0,0,0,0,0,0,0,1,0,0
32,Red Sea,11.1,Rocky,0.87,28.7,40.3,Medium,62.3,23.0,MPA,69.8,1,1,0,1,0,0,0,0,0,0,0
33,Coral Triangle,1.6,Rocky,0.65,28.4,34.4,High,65.9,16.2,Unprotected,11.0,0,0,0,1,0,0,0,0,0,0,1
34,Great Barrier Reef,33.6,Rocky,0.93,24.3,34.4,Low,51.6,23.9,MPA,21.4,1,0,0,0,0,0,0,0,0,0,0
35,Coral Triangle,32.5,Rubble,0.63,30.9,34.8,Low,49.8,16.2,Unprotected,23.7,1,0,0,0,0,0,0,0,0,0,1
36,Red Sea,17.9,Rocky,0.62,28.8,39.6,Medium,64.8,23.4,MPA,54.6,1,0,0,1,0,0,0,0,0,0,0
37,Coral Triangle,12.2,Rocky,0.68,29.0,33.5,Medium,57.5,9.2,Unprotected,20.4,0,0,0,0,0,0,1,0,0,0,1
38,Coral Triangle,40.0,Rubble,0.86,28.7,34.1,Low,58.1,8.6,Unprotected,11.5,1,0,0,0,0,0,0,0,0,0,1
39,Coral Triangle,31.1,Sandy,0.71,28.6,34.7,Low,63.6,15.0,MPA,43.7,1,0,0,0,0,0,1,0,0,0,1
40,Coral Triangle,33.9,Rocky,0.64,28.0,35.0,Low,57.9,8.6,Unprotected,12.8,1,0,0,0,0,0,1,0,0,0,0
41,Great Barrier Reef,15.5,Sandy,0.94,26.7,34.3,Medium,70.9,20.3,MPA,90.6,1,0,0,0,0,1,0,0,0,0,0
42,Coral Triangle,36.9,Rubble,0.68,29.3,33.6,Low,62.5,10.9,Unprotected,17.9,1,0,0,0,0,0,0,0,0,0,1
43,Caribbean,20.7,Rubble,0.49,28.8,35.5,Low,39.5,21.1,Unprotected,22.6,1,0,0,0,0,0,0,0,0,0,0
44,Coral Triangle,33.7,Sandy,0.52,28.9,34.6,Low,55.5,23.9,Unprotected,4.9,1,0,0,0,0,0,1,0,0,0,0
45,Coral Triangle,37.8,Rocky,0.84,29.9,33.5,Low,63.0,25.8,MPA,53.4,1,0,0,0,0,0,1,0,0,0,1
46,Caribbean,16.9,Rubble,0.67,26.0,35.6,Medium,65.9,26.2,MPA,51.9,1,0,0,0,0,0,0,0,1,0,0
47,Red Sea,6.1,Rocky,0.67,27.8,40.7,High,61.3,29.4,Unprotected,26.5,0,0,1,1,0,0,0,0,0,0,0
48,Great Barrier Reef,6.7,Rocky,0.88,27.4,34.1,High,66.6,12.3,Unprotected,60.2,1,0,0,1,0,1,0,0,0,0,0
49,Caribbean,5.7,Coralline,0.74,26.9,34.9,High,72.8,7.1,Unprotected,4.2,1,0,0,0,0,0,0,0,1,1,0
50,Great Barrier Reef,18.7,Rocky,0.76,25.7,35.1,Medium,67.5,14.9,MPA,112.8,1,0,0,0,1,0,0,0,0,0,0
51,Red Sea,28.7,Rubble,0.66,28.1,39.6,Low,61.7,27.6,Unprotected,12.1,1,0,1,0,0,0,0,0,0,0,0
52,Red Sea,14.9,Rubble,0.78,27.9,40.1,Medium,61.3,11.6,MPA,19.9,1,1,1,0,0,0,0,0,0,0,0
53,Red Sea,5.7,Rocky,0.51,28.6,41.0,High,69.8,26.8,MPA,78.9,0,1,0,1,0,0,0,0,0,0,0
54,Great Barrier Reef,24.4,Rocky,0.69,28.2,35.1,Low,67.6,10.4,MPA,99.3,1,0,0,1,0,1,0,0,0,0,0
55,Red Sea,12.8,Sandy,0.8,27.4,39.3,Medium,65.2,28.7,Unprotected,48.5,1,0,1,0,0,0,0,0,0,0,0
56,Caribbean,20.0,Coralline,0.6,25.0,35.9,Low,55.5,29.5,Unprotected,18.4,0,0,0,0,0,0,0,0,1,1,0
57,Red Sea,14.9,Rocky,0.87,27.5,39.6,Medium,62.4,13.1,MPA,71.5,0,0,1,1,0,0,0,0,0,0,0
58,Caribbean,15.8,Silty,0.54,27.6,34.6,Medium,55.5,13.4,Unprotected,22.9,1,0,0,0,0,0,0,1,0,0,0
59,Coral Triangle,25.3,Rubble,0.64,29.9,34.9,Low,61.2,11.0,Unprotected,33.5,0,0,0,0,0,0,1,0,0,0,1
60,Red Sea,5.4,Sandy,0.74,27.3,39.2,High,66.4,24.2,Unprotected,45.3,0,0,0,1,0,0,0,0,0,0,0
61,Caribbean,10.8,Coralline,0.53,25.0,34.8,Medium,64.8,26.7,MPA,29.4,1,0,0,0,0,0,0,0,1,1,0
62,Coral Triangle,4.1,Rubble,0.81,27.4,34.8,High,73.6,26.4,Unprotected,30.8,1,0,0,1,0,0,1,0,0,0,0
63,Coral Triangle,1.4,Rocky,0.73,28.4,33.7,High,60.7,12.2,Unprotected,24.6,0,0,0,1,0,0,1,0,0,0,0
64,Coral Triangle,29.0,Sandy,0.51,30.5,33.7,Low,55.3,22.5,Unprotected,10.5,1,0,0,0,0,0,0,0,0,0,0
65,Red Sea,27.8,Sandy,0.76,28.6,39.1,Low,46.7,6.2,Unprotected,34.2,1,1,0,0,0,0,0,0,0,0,0
66,Caribbean,19.3,Silty,0.58,27.1,35.3,Medium,63.5,27.7,MPA,49.7,1,0,0,0,0,0,0,1,1,0,0
67,Coral Triangle,18.4,Rubble,0.86,28.0,34.1,Medium,52.0,20.2,Unprotected,16.6,1,0,0,0,0,0,1,0,0,0,1
68,Great Barrier Reef,5.6,Rocky,0.78,24.7,34.7,High,72.3,6.3,MPA,110.9,0,0,0,1,1,1,0,0,0,0,0
69,Caribbean,5.9,Coralline,0.54,25.9,35.6,High,59.3,22.1,Unprotected,4.8,0,0,0,0,0,0,0,0,0,1,0
70,Red Sea,6.5,Sandy,0.55,28.8,40.2,High,68.1,22.9,MPA,29.4,0,1,0,1,0,0,0,0,0,0,0
71,Caribbean,6.5,Coralline,0.41,25.5,35.2,High,56.0,8.5,Unprotected,29.7,0,0,0,0,0,0,0,1,1,1,0
72,Great Barrier Reef,6.5,Coralline,0.87,26.3,35.4,High,68.6,23.5,MPA,28.5,1,0,0,1,0,1,0,0,0,0,0
73,Caribbean,8.8,Rubble,0.52,26.4,35.7,High,57.8,16.6,MPA,55.5,1,0,0,0,0,0,0,0,1,1,0
74,Coral Triangle,1.5,Rocky,0.62,29.7,33.7,High,70.9,20.1,MPA,27.3,0,0,0,1,0,0,0,0,0,0,1
75,Caribbean,23.5,Silty,0.6,28.2,35.4,Low,48.1,14.0,Unprotected,1.8,0,0,0,0,0,0,0,0,0,1,0
76,Coral Triangle,3.8,Sandy,0.63,29.5,34.4,High,68.1,7.8,Unprotected,29.6,0,0,0,1,0,0,0,0,0,0,0
77,Great Barrier Reef,23.8,Rocky,0.9,26.0,34.9,Low,64.9,7.4,MPA,74.2,1,0,0,0,1,1,0,0,0,0,0
78,Caribbean,11.9,Silty,0.67,25.8,35.5,Medium,54.2,18.3,Unprotected,17.7,1,0,0,0,0,0,0,0,1,0,0
79,Great Barrier Reef,5.3,Coralline,0.85,24.2,34.8,High,69.6,20.5,MPA,113.8,0,0,0,1,1,0,0,0,0,0,0
80,Great Barrier Reef,28.5,Sandy,0.89,26.2,34.1,Low,68.5,18.3,MPA,77.3,1,0,0,0,0,1,0,0,0,0,0
81,Red Sea,28.2,Rocky,0.7,29.6,40.4,Low,64.0,14.3,MPA,53.1,1,1,1,0,0,0,0,0,0,0,0
82,Great Barrier Reef,4.0,Sandy,0.82,26.1,35.4,High,72.7,7.5,MPA,93.5,0,0,0,1,0,1,0,0,0,0,0
83,Great Barrier Reef,11.6,Sandy,0.66,24.3,34.3,Medium,54.6,23.5,Unprotected,89.0,1,0,0,0,1,0,0,0,0,0,0
84,Caribbean,18.6,Rubble,0.8,26.7,34.8,Medium,61.4,6.1,Unprotected,5.8,1,0,0,0,0,0,0,1,0,1,0
85,Coral Triangle,12.2,Sandy,0.53,27.9,33.6,Medium,61.5,24.9,Unprotected,13.9,1,0,0,0,0,0,0,0,0,0,1
86,Coral Triangle,38.4,Sandy,0.8,28.2,33.5,Low,62.1,13.8,Unprotected,21.6,1,0,0,0,0,0,1,0,0,0,0
87,Caribbean,18.0,Silty,0.64,29.0,34.9,Medium,63.1,7.3,MPA,51.7,1,0,0,0,0,0,0,1,0,0,0
88,Coral Triangle,9.5,Rubble,0.68,27.8,34.9,High,57.3,29.4,Unprotected,39.7,1,0,0,1,0,0,1,0,0,0,0
89,Caribbean,7.3,Silty,0.4,28.7,35.0,High,55.9,10.6,Unprotected,20.5,0,0,0,0,0,0,0,0,1,1,0
90,Red Sea,22.3,Rocky,0.62,26.0,41.0,Low,54.6,15.7,Unprotected,8.5,0,1,1,0,0,0,0,0,0,0,0
91,Great Barrier Reef,9.2,Rocky,0.95,28.3,34.2,High,78.3,21.7,Unprotected,41.5,0,0,0,1,0,1,0,0,0,0,0
92,Red Sea,15.0,Rubble,0.74,29.0,40.0,Medium,53.3,19.9,Unprotected,40.1,1,0,1,0,0,0,0,0,0,0,0
93,Caribbean,22.9,Coralline,0.57,25.5,34.6,Low,53.5,8.0,Unprotected,28.9,1,0,0,0,0,0,0,0,0,1,0
94,Coral Triangle,2.3,Rocky,0.57,27.5,34.9,High,63.9,22.0,Unprotected,10.4,0,0,0,1,0,0,1,0,0,0,0
95,Red Sea,6.6,Rubble,0.86,29.6,39.6,High,69.7,27.4,MPA,38.9,0,0,1,0,0,0,0,0,0,0,0
96,Coral Triangle,35.5,Sandy,0.6,28.7,33.9,Low,65.2,7.6,MPA,46.0,1,0,0,0,0,0,1,0,0,0,0
97,Caribbean,3.3,Rubble,0.61,27.2,34.9,High,71.6,9.1,MPA,56.4,0,0,0,0,0,0,0,1,0,1,0
98,Great Barrier Reef,25.1,Sandy,0.81,24.8,35.4,Low,66.0,15.2,MPA,52.3,1,0,0,1,0,0,0,0,0,0,0
99,Red Sea,6.9,Sandy,0.74,28.5,40.6,High,62.8,5.4,Unprotected,7.7,0,1,1,0,0,0,0,0,0,0,0
100,Coral Triangle,22.8,Rubble,0.53,27.4,34.9,Low,48.9,12.1,Unprotected,26.9,1,0,0,0,0,0,0,0,0,0,0
101,Red Sea,8.1,Sandy,0.51,28.5,40.2,High,72.3,10.9,MPA,10.4,0,0,1,1,0,0,0,0,0,0,0
102,Caribbean,3.7,Silty,0.76,25.8,35.1,High,69.4,22.1,Unprotected,14.8,0,0,0,0,0,0,0,1,1,1,0
103,Caribbean,7.1,Coralline,0.64,26.1,35.1,High,68.9,6.2,Unprotected,15.4,0,0,0,0,0,0,0,0,1,1,0
104,Caribbean,13.7,Silty,0.65,29.0,34.6,Medium,60.5,7.3,MPA,42.3,1,0,0,0,0,0,0,1,0,0,0
105,Red Sea,11.1,Sandy,0.75,26.4,39.6,Medium,58.8,18.7,Unprotected,20.1,1,0,1,1,0,0,0,0,0,0,0
106,Coral Triangle,34.0,Rubble,0.83,29.0,33.5,Low,64.2,28.4,MPA,23.2,1,0,0,0,0,0,1,0,0,0,0
107,Great Barrier Reef,13.1,Coralline,0.95,27.4,34.3,Medium,67.5,15.7,MPA,30.8,1,0,0,0,0,1,0,0,0,0,0
108,Coral Triangle,14.9,Rubble,0.53,28.9,34.5,Medium,51.4,25.3,Unprotected,17.6,1,0,0,0,0,0,0,0,0,0,1
109,Red Sea,24.1,Sandy,0.67,27.7,39.8,Low,56.7,22.6,Unprotected,15.7,1,0,1,0,0,0,0,0,0,0,0
110,Coral Triangle,23.9,Rubble,0.74,29.6,34.1,Low,50.7,17.2,Unprotected,16.1,1,0,0,0,0,0,1,0,0,0,0
111,Coral Triangle,2.2,Rocky,0.92,27.7,33.6,High,69.1,13.7,Unprotected,37.7,0,0,0,1,0,0,0,0,0,0,0
112,Coral Triangle,30.7,Sandy,0.61,27.6,34.8,Low,55.6,8.5,Unprotected,4.3,1,0,0,0,0,0,0,0,0,0,1
113,Caribbean,14.6,Coralline,0.69,27.6,35.3,Medium,61.7,20.7,Unprotected,10.6,0,0,0,0,0,0,0,1,1,0,0
114,Great Barrier Reef,26.9,Rocky,0.7,24.2,34.4,Low,69.8,12.5,MPA,50.6,1,0,0,1,0,1,0,0,0,0,0
115,Red Sea,21.7,Rocky,0.75,29.5,40.9,Low,64.3,17.0,MPA,16.8,1,0,0,1,0,0,0,0,0,0,0
116,Red Sea,11.2,Rubble,0.54,26.1,40.4,Medium,53.2,27.1,Unprotected,37.0,1,1,0,0,0,0,0,0,0,0,0
117,Red Sea,16.7,Rocky,0.55,29.2,39.9,Medium,59.4,17.1,Unprotected,25.5,1,0,0,0,0,0,0,0,0,0,0
118,Great Barrier Reef,5.0,Coralline,0.92,24.9,34.3,High,60.4,22.2,MPA,121.7,1,0,0,1,0,1,0,0,0,0,0
119,Great Barrier Reef,11.7,Rocky,0.94,28.2,34.1,Medium,64.9,13.6,MPA,139.8,1,0,0,1,1,0,0,0,0,0,0
120,Coral Triangle,39.8,Sandy,0.87,28.2,34.4,Low,55.3,5.0,Unprotected,19.8,1,0,0,1,0,0,0,0,0,0,0
121,Caribbean,3.9,Coralline,0.74,26.0,34.7,High,62.2,21.1,Unprotected,8.8,0,0,0,0,0,0,0,0,1,1,0
122,Great Barrier Reef,7.7,Rocky,0.8,26.4,35.2,High,71.1,27.0,MPA,38.5,0,0,0,1,1,0,0,0,0,0,0
123,Great Barrier Reef,11.3,Coralline,0.68,26.3,34.6,Medium,67.1,17.9,MPA,81.3,1,0,0,0,0,1,0,0,0,0,0
124,Red Sea,15.1,Rocky,0.58,28.8,39.3,Medium,57.6,10.3,Unprotected,15.6,1,0,0,1,0,0,0,0,0,0,0
125,Great Barrier Reef,28.2,Coralline,0.85,24.5,35.3,Low,66.3,10.0,MPA,122.8,0,0,0,1,1,0,0,0,0,0,0
126,Caribbean,19.6,Coralline,0.64,28.8,35.0,Medium,49.4,7.8,Unprotected,16.8,1,0,0,0,0,0,0,0,0,0,0
127,Great Barrier Reef,11.6,Sandy,0.94,24.9,35.1,Medium,65.4,17.9,MPA,105.4,1,0,0,1,0,0,0,0,0,0,0
128,Red Sea,28.2,Rocky,0.76,29.3,41.0,Low,58.1,16.9,Unprotected,27.5,1,0,0,1,0,0,0,0,0,0,0
129,Caribbean,11.7,Silty,0.64,27.5,35.8,Medium,54.6,8.4,Unprotected,15.0,1,0,0,0,0,0,0,0,0,0,0
130,Coral Triangle,19.2,Rocky,0.79,29.9,33.8,Medium,61.3,11.9,Unprotected,38.5,1,0,0,0,0,0,1,0,0,0,0
131,Coral Triangle,31.8,Sandy,0.67,29.9,34.7,Low,55.0,8.7,MPA,21.7,1,0,0,0,0,0,1,0,0,0,1
132,Red Sea,13.8,Rocky,0.79,28.6,39.6,Medium,63.2,17.1,MPA,57.8,1,0,1,0,0,0,0,0,0,0,0
133,Coral Triangle,32.1,Rocky,0.52,29.8,35.0,Low,49.2,24.5,Unprotected,3.7,1,0,0,0,0,0,1,0,0,0,0
134,Caribbean,22.4,Rubble,0.77,28.0,34.6,Low,51.9,11.8,MPA,26.3,0,0,0,0,0,0,0,1,1,1,0
135,Red Sea,17.8,Rocky,0.89,27.1,39.5,Medium,53.6,28.9,Unprotected,39.3,0,1,0,1,0,0,0,0,0,0,0
136,Great Barrier Reef,24.5,Coralline,0.94,26.5,34.7,Low,60.9,12.1,MPA,94.9,1,0,0,1,0,1,0,0,0,0,0
137,Red Sea,21.1,Sandy,0.56,26.4,40.2,Low,61.9,7.0,Unprotected,15.9,1,0,0,1,0,0,0,0,0,0,0
138,Caribbean,4.7,Rubble,0.66,28.0,35.4,High,66.9,17.3,MPA,45.6,0,0,0,0,0,0,0,0,1,1,0
139,Caribbean,4.8,Silty,0.51,25.5,34.9,High,56.2,17.2,Unprotected,12.2,0,0,0,0,0,0,0,1,1,0,0
140,Great Barrier Reef,3.6,Sandy,0.8,25.0,34.5,High,71.9,24.2,MPA,25.5,1,0,0,0,1,1,0,0,0,0,0
141,Coral Triangle,6.2,Rocky,0.8,27.3,34.3,High,66.0,6.7,Unprotected,31.6,0,0,0,1,0,0,0,0,0,0,1
142,Red Sea,12.1,Sandy,0.83,28.5,40.9,Medium,64.1,10.2,Unprotected,47.3,1,0,1,1,0,0,0,0,0,0,0
143,Caribbean,12.1,Rubble,0.74,28.7,35.1,Medium,60.1,6.4,Unprotected,25.3,1,0,0,0,0,0,0,0,1,1,0
144,Red Sea,13.4,Sandy,0.65,26.4,40.9,Medium,59.7,20.8,Unprotected,5.4,1,1,1,0,0,0,0,0,0,0,0
145,Caribbean,18.8,Coralline,0.54,28.0,35.5,Medium,61.7,16.6,Unprotected,4.5,1,0,0,0,0,0,0,0,0,1,0
146,Great Barrier Reef,30.5,Sandy,0.68,26.4,35.2,Low,60.2,15.7,Unprotected,73.7,0,0,0,0,0,1,0,0,0,0,0
147,Caribbean,14.2,Coralline,0.78,28.2,35.3,Medium,63.2,29.3,Unprotected,6.2,1,0,0,0,0,0,0,1,1,0,0
148,Caribbean,3.7,Rubble,0.51,25.2,35.4,High,62.0,28.7,Unprotected,13.0,0,0,0,0,0,0,0,0,1,1,0
149,Great Barrier Reef,7.6,Coralline,0.89,26.4,34.9,High,64.0,11.8,MPA,89.6,0,0,0,0,1,1,0,0,0,0,0
150,Great Barrier Reef,15.5,Sandy,0.66,28.3,35.1,Medium,52.7,27.8,MPA,35.3,1,0,0,0,1,0,0,0,0,0,0
151,Red Sea,27.2,Sandy,0.88,29.9,41.0,Low,65.5,23.4,MPA,41.9,1,1,0,0,0,0,0,0,0,0,0
152,Coral Triangle,35.7,Rocky,0.62,27.7,34.2,Low,46.4,6.0,MPA,58.5,1,0,0,1,0,0,0,0,0,0,0
153,Red Sea,21.6,Sandy,0.7,27.3,39.9,Low,56.3,25.5,Unprotected,13.6,1,1,0,0,0,0,0,0,0,0,0
154,Red Sea,20.8,Sandy,0.79,28.4,40.0,Low,64.2,19.4,MPA,38.0,1,0,0,1,0,0,0,0,0,0,0
155,Caribbean,18.9,Coralline,0.42,26.7,35.2,Medium,60.3,16.0,Unprotected,26.5,0,0,0,0,0,0,0,1,1,0,0
156,Caribbean,16.4,Coralline,0.54,25.6,35.3,Medium,62.7,9.1,Unprotected,4.2,0,0,0,0,0,0,0,1,0,1,0
157,Coral Triangle,13.2,Rubble,0.81,27.3,34.6,Medium,56.6,21.4,Unprotected,39.4,1,0,0,0,0,0,1,0,0,0,0
158,Great Barrier Reef,18.4,Coralline,0.78,26.3,34.3,Medium,66.7,15.6,MPA,65.5,0,0,0,1,0,1,0,0,0,0,0
159,Red Sea,8.9,Sandy,0.8,28.6,39.8,High,72.8,27.1,MPA,59.6,0,0,1,1,0,0,0,0,0,0,0
160,Great Barrier Reef,19.3,Sandy,0.94,24.9,35.1,Medium,76.5,21.0,MPA,120.7,1,0,0,0,0,0,0,0,0,0,0
161,Coral Triangle,14.3,Sandy,0.6,29.6,34.5,Medium,61.4,18.1,MPA,67.0,1,0,0,0,0,0,0,0,0,0,0
162,Caribbean,18.8,Coralline,0.68,26.3,35.3,Medium,57.8,18.3,Unprotected,19.5,1,0,0,0,0,0,0,1,0,1,0
163,Caribbean,16.4,Coralline,0.47,27.4,35.3,Medium,50.6,28.6,Unprotected,8.5,0,0,0,0,0,0,0,0,1,0,0
164,Great Barrier Reef,19.5,Rocky,0.69,24.6,35.4,Medium,67.3,10.4,MPA,25.1,1,0,0,1,1,0,0,0,0,0,0
165,Red Sea,6.5,Rubble,0.77,29.6,40.6,High,64.0,10.9,Unprotected,8.5,0,0,0,1,0,0,0,0,0,0,0
166,Red Sea,9.1,Rubble,0.52,26.2,39.1,High,73.5,11.6,MPA,33.7,0,0,1,1,0,0,0,0,0,0,0
167,Caribbean,14.6,Rubble,0.5,25.1,35.3,Medium,62.3,14.6,Unprotected,3.8,1,0,0,0,0,0,0,0,0,1,0
168,Coral Triangle,31.4,Rubble,0.58,28.0,33.7,Low,54.3,13.4,MPA,7.3,1,0,0,0,0,0,0,0,0,0,1
169,Caribbean,12.2,Rubble,0.57,25.4,34.8,Medium,60.6,9.3,Unprotected,3.7,1,0,0,0,0,0,0,0,1,1,0
170,Coral Triangle,26.4,Sandy,0.78,29.3,34.7,Low,63.5,7.4,MPA,49.5,1,0,0,0,0,0,0,0,0,0,0
171,Red Sea,25.6,Rocky,0.76,27.9,40.7,Low,53.5,13.0,Unprotected,43.3,1,0,0,0,0,0,0,0,0,0,0
172,Coral Triangle,26.6,Rocky,0.61,27.8,34.9,Low,51.4,12.6,Unprotected,35.8,1,0,0,0,0,0,1,0,0,0,0
173,Coral Triangle,33.5,Rubble,0.63,29.7,34.1,Low,70.6,20.8,Unprotected,28.1,0,0,0,0,0,0,1,0,0,0,0
174,Caribbean,23.8,Rubble,0.46,28.1,34.9,Low,60.1,15.8,MPA,15.9,1,0,0,0,0,0,0,0,0,0,0
175,Coral Triangle,37.3,Sandy,0.85,27.7,34.9,Low,41.4,21.2,Unprotected,4.6,1,0,0,0,0,0,1,0,0,0,0
176,Coral Triangle,29.4,Sandy,0.78,30.3,34.6,Low,55.1,5.4,Unprotected,30.1,1,0,0,0,0,0,0,0,0,0,0
177,Caribbean,18.6,Rubble,0.52,28.6,35.5,Medium,65.9,7.6,MPA,7.8,1,0,0,0,0,0,0,0,0,0,0
178,Caribbean,12.3,Silty,0.62,28.9,35.6,Medium,53.2,17.7,Unprotected,21.5,1,0,0,0,0,0,0,0,0,0,0
179,Great Barrier Reef,7.5,Coralline,0.85,25.4,35.4,High,77.4,6.7,Unprotected,96.8,0,0,0,1,0,1,0,0,0,0,0
180,Great Barrier Reef,18.4,Sandy,0.75,27.5,34.9,Medium,54.7,8.7,MPA,105.3,1,0,0,0,0,1,0,0,0,0,0
181,Great Barrier Reef,10.3,Rocky,0.63,27.3,34.5,Medium,66.0,14.0,MPA,97.6,1,0,0,0,1,0,0,0,0,0,0
182,Great Barrier Reef,21.4,Coralline,0.75,24.2,34.3,Low,54.8,23.7,MPA,71.1,0,0,0,1,0,1,0,0,0,0,0
183,Great Barrier Reef,26.5,Sandy,0.64,27.7,35.4,Low,58.7,28.9,Unprotected,13.8,1,0,0,0,0,0,0,0,0,0,0
184,Red Sea,27.6,Rocky,0.84,27.1,39.0,Low,60.8,7.2,MPA,68.4,1,0,1,1,0,0,0,0,0,0,0
185,Red Sea,9.0,Sandy,0.56,29.3,40.5,High,69.4,23.3,MPA,46.4,0,0,1,1,0,0,0,0,0,0,0
186,Red Sea,18.9,Rocky,0.52,29.1,40.9,Medium,68.5,26.7,Unprotected,41.0,1,0,0,0,0,0,0,0,0,0,0
187,Red Sea,25.5,Sandy,0.62,26.9,39.7,Low,55.5,27.1,Unprotected,25.8,0,0,1,1,0,0,0,0,0,0,0
188,Coral Triangle,32.7,Rubble,0.77,28.7,35.0,Low,61.6,26.4,Unprotected,23.1,1,0,0,1,0,0,0,0,0,0,0
